success,rt,trial_type,trial_index,plugin_version,time_elapsed,random_id,participant,stimulus,response,word,type,question_order,file_name
NA,null,html-keyboard-response,23,2.0.0,65181,p0kqwtb8qfg,jaguar,<p>sandwich</p>,null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,24,2.0.0,66184,p0kqwtb8qfg,jaguar,"<div style=""font-size:60px;"">+</div>",null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,25,2.0.0,67686,p0kqwtb8qfg,jaguar,<p>rye</p>,null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,26,2.0.0,68688,p0kqwtb8qfg,jaguar,"<div style=""font-size:60px;"">+</div>",null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,27,2.0.0,70191,p0kqwtb8qfg,jaguar,<p>eat</p>,null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,28,2.0.0,72193,p0kqwtb8qfg,jaguar,<h3>List 2 </h3>,null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,29,2.0.0,73195,p0kqwtb8qfg,jaguar,"<div style=""font-size:60px;"">+</div>",null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,30,2.0.0,74697,p0kqwtb8qfg,jaguar,<p>death</p>,null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,31,2.0.0,75699,p0kqwtb8qfg,jaguar,"<div style=""font-size:60px;"">+</div>",null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,32,2.0.0,77201,p0kqwtb8qfg,jaguar,<p>night</p>,null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,33,2.0.0,78204,p0kqwtb8qfg,jaguar,"<div style=""font-size:60px;"">+</div>",null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,34,2.0.0,79707,p0kqwtb8qfg,jaguar,<p>bottom</p>,null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,35,2.0.0,80709,p0kqwtb8qfg,jaguar,"<div style=""font-size:60px;"">+</div>",null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,36,2.0.0,82211,p0kqwtb8qfg,jaguar,<p>grief</p>,null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,37,2.0.0,83213,p0kqwtb8qfg,jaguar,"<div style=""font-size:60px;"">+</div>",null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,38,2.0.0,84715,p0kqwtb8qfg,jaguar,<p>charred</p>,null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,39,2.0.0,85718,p0kqwtb8qfg,jaguar,"<div style=""font-size:60px;"">+</div>",null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,40,2.0.0,87220,p0kqwtb8qfg,jaguar,<p>white</p>,null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,41,2.0.0,88222,p0kqwtb8qfg,jaguar,"<div style=""font-size:60px;"">+</div>",null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,42,2.0.0,89724,p0kqwtb8qfg,jaguar,<p>cat</p>,null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,43,2.0.0,90726,p0kqwtb8qfg,jaguar,"<div style=""font-size:60px;"">+</div>",null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,44,2.0.0,92231,p0kqwtb8qfg,jaguar,<p>dark</p>,null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,45,2.0.0,93234,p0kqwtb8qfg,jaguar,"<div style=""font-size:60px;"">+</div>",null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,46,2.0.0,94737,p0kqwtb8qfg,jaguar,<p>blue</p>,null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,47,2.0.0,95739,p0kqwtb8qfg,jaguar,"<div style=""font-size:60px;"">+</div>",null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,48,2.0.0,97241,p0kqwtb8qfg,jaguar,<p>color</p>,null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,49,2.0.0,98244,p0kqwtb8qfg,jaguar,"<div style=""font-size:60px;"">+</div>",null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,50,2.0.0,99746,p0kqwtb8qfg,jaguar,<p>ink</p>,null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,51,2.0.0,100748,p0kqwtb8qfg,jaguar,"<div style=""font-size:60px;"">+</div>",null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,52,2.0.0,102251,p0kqwtb8qfg,jaguar,<p>funeral</p>,null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,53,2.0.0,104253,p0kqwtb8qfg,jaguar,<h3>List 3 </h3>,null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,54,2.0.0,105256,p0kqwtb8qfg,jaguar,"<div style=""font-size:60px;"">+</div>",null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,55,2.0.0,106758,p0kqwtb8qfg,jaguar,<p>ire</p>,null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,56,2.0.0,107760,p0kqwtb8qfg,jaguar,"<div style=""font-size:60px;"">+</div>",null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,57,2.0.0,109263,p0kqwtb8qfg,jaguar,<p>mad</p>,null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,58,2.0.0,110265,p0kqwtb8qfg,jaguar,"<div style=""font-size:60px;"">+</div>",null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,59,2.0.0,111767,p0kqwtb8qfg,jaguar,<p>mean</p>,null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
NA,null,html-keyboard-response,60,2.0.0,112770,p0kqwtb8qfg,jaguar,"<div style=""font-size:60px;"">+</div>",null,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_false_recall/analysis/../data/raw_data/p0kqwtb8qfg_1732221568912.csv
